WARNING 2026-06-20 05:15:10,725 log 15476 24696 Forbidden: /api/kardex/
WARNING 2026-06-20 05:15:11,330 log 15476 24696 Forbidden: /api/inventario/valoracion/
WARNING 2026-06-20 05:15:11,331 log 15476 24696 Forbidden: /api/productos/importar/
WARNING 2026-06-20 05:15:11,935 log 15476 24696 Forbidden: /api/productos/
WARNING 2026-06-20 05:15:11,936 log 15476 24696 Forbidden: /api/productos/1/ajustar/
WARNING 2026-06-20 05:15:14,969 log 15476 24696 Unauthorized: /api/auth/login/
WARNING 2026-06-20 05:15:15,577 log 15476 24696 Forbidden: /api/usuarios/1/toggle-activo/
WARNING 2026-06-20 05:15:16,180 log 15476 24696 Unauthorized: /api/usuarios/
WARNING 2026-06-20 05:15:16,181 log 15476 24696 Forbidden: /api/usuarios/
WARNING 2026-06-20 05:15:20,252 log 15476 24696 Bad Request: /api/ventas/
WARNING 2026-06-20 05:15:59,253 log 13132 14400 Forbidden: /api/kardex/
WARNING 2026-06-20 05:15:59,850 log 13132 14400 Forbidden: /api/inventario/valoracion/
WARNING 2026-06-20 05:15:59,851 log 13132 14400 Forbidden: /api/productos/importar/
WARNING 2026-06-20 05:16:00,457 log 13132 14400 Forbidden: /api/productos/
WARNING 2026-06-20 05:16:00,458 log 13132 14400 Forbidden: /api/productos/1/ajustar/
WARNING 2026-06-20 05:16:03,528 log 13132 14400 Unauthorized: /api/auth/login/
WARNING 2026-06-20 05:16:04,134 log 13132 14400 Forbidden: /api/usuarios/1/toggle-activo/
WARNING 2026-06-20 05:16:04,755 log 13132 14400 Unauthorized: /api/usuarios/
WARNING 2026-06-20 05:16:04,756 log 13132 14400 Forbidden: /api/usuarios/
WARNING 2026-06-20 05:16:08,857 log 13132 14400 Bad Request: /api/ventas/
WARNING 2026-06-20 12:24:21,630 log 6828 5312 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:24:21,631 basehttp 6828 5312 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:24:24,722 log 6828 5312 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:24:24,722 basehttp 6828 5312 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:24:32,562 log 6828 5312 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:24:32,562 basehttp 6828 5312 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:24:37,360 log 6828 5312 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:24:37,361 basehttp 6828 5312 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:24:38,404 log 6828 5312 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:24:38,405 basehttp 6828 5312 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:24:43,363 log 6828 5312 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:24:43,364 basehttp 6828 5312 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:24:51,493 log 6828 5312 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:24:51,494 basehttp 6828 5312 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:25:01,336 log 6828 5312 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:25:01,336 basehttp 6828 5312 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:25:09,283 log 6828 5312 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:25:09,283 basehttp 6828 5312 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:25:41,369 log 6828 5312 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:25:41,370 basehttp 6828 5312 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:25:43,083 log 6828 5312 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:25:43,083 basehttp 6828 5312 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:25:44,064 log 6828 5312 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:25:44,065 basehttp 6828 5312 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:25:44,757 log 6828 5312 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:25:44,757 basehttp 6828 5312 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:25:49,612 log 6828 5312 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:25:49,612 basehttp 6828 5312 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:25:53,690 log 6828 5312 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:25:53,691 basehttp 6828 5312 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:25:54,931 log 6828 5312 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:25:54,932 basehttp 6828 5312 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:25:56,284 log 6828 5312 Unauthorized: /api/auth/me/
WARNING 2026-06-20 12:25:56,285 basehttp 6828 5312 "GET /api/auth/me/ HTTP/1.1" 401 65
WARNING 2026-06-20 12:25:56,288 log 6828 5312 Bad Request: /api/auth/refresh/
WARNING 2026-06-20 12:25:56,288 basehttp 6828 5312 "POST /api/auth/refresh/ HTTP/1.1" 400 44
WARNING 2026-06-20 12:26:03,371 log 6828 5312 Unauthorized: /api/auth/me/
WARNING 2026-06-20 12:26:03,372 basehttp 6828 5312 "GET /api/auth/me/ HTTP/1.1" 401 65
WARNING 2026-06-20 12:26:03,375 log 6828 5312 Bad Request: /api/auth/refresh/
WARNING 2026-06-20 12:26:03,376 basehttp 6828 5312 "POST /api/auth/refresh/ HTTP/1.1" 400 44
WARNING 2026-06-20 12:26:50,232 log 25052 18384 Forbidden: /api/kardex/
WARNING 2026-06-20 12:26:51,023 log 25052 18384 Forbidden: /api/inventario/valoracion/
WARNING 2026-06-20 12:26:51,024 log 25052 18384 Forbidden: /api/productos/importar/
WARNING 2026-06-20 12:26:51,772 log 25052 18384 Forbidden: /api/productos/
WARNING 2026-06-20 12:26:51,773 log 25052 18384 Forbidden: /api/productos/1/ajustar/
WARNING 2026-06-20 12:26:55,523 log 25052 18384 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:26:56,418 log 25052 18384 Forbidden: /api/usuarios/1/toggle-activo/
WARNING 2026-06-20 12:26:57,210 log 25052 18384 Unauthorized: /api/usuarios/
WARNING 2026-06-20 12:26:57,212 log 25052 18384 Forbidden: /api/usuarios/
WARNING 2026-06-20 12:27:02,308 log 25052 18384 Bad Request: /api/ventas/
WARNING 2026-06-20 12:27:54,417 log 21988 17908 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:27:54,418 basehttp 21988 17908 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:27:58,208 log 21988 17908 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:27:58,209 basehttp 21988 17908 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:28:00,222 log 21988 17908 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:28:00,222 basehttp 21988 17908 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:28:07,748 log 21988 17908 Unauthorized: /api/auth/me/
WARNING 2026-06-20 12:28:07,748 basehttp 21988 17908 "GET /api/auth/me/ HTTP/1.1" 401 65
WARNING 2026-06-20 12:28:07,758 log 21988 17908 Unauthorized: /api/auth/refresh/
WARNING 2026-06-20 12:28:07,759 basehttp 21988 17908 "POST /api/auth/refresh/ HTTP/1.1" 401 44
WARNING 2026-06-20 12:28:47,630 log 21988 17908 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:28:47,631 basehttp 21988 17908 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2026-06-20 12:28:51,324 log 21988 17908 Unauthorized: /api/auth/me/
WARNING 2026-06-20 12:28:51,325 basehttp 21988 17908 "GET /api/auth/me/ HTTP/1.1" 401 65
WARNING 2026-06-20 12:28:51,329 log 21988 17908 Unauthorized: /api/auth/refresh/
WARNING 2026-06-20 12:28:51,330 basehttp 21988 17908 "POST /api/auth/refresh/ HTTP/1.1" 401 44
WARNING 2026-06-20 12:29:55,636 log 28396 12844 Forbidden: /api/kardex/
WARNING 2026-06-20 12:29:56,393 log 28396 12844 Forbidden: /api/inventario/valoracion/
WARNING 2026-06-20 12:29:56,395 log 28396 12844 Forbidden: /api/productos/importar/
